entropy;chi^2;limit;3-gram Chi^2;3-gram limit;Size;Termination;File Command
7.90577;257.5;374.873;0;1.42056e+08;315944882;gpg;GPG symmetrically encrypted data (AES256 cipher)
7.91362;242.25;374.873;0;1.27248e+07;29958374;gpg;GPG symmetrically encrypted data (AES256 cipher)
7.91013;255.25;374.873;36;1.41763e+08;315296541;7z;7-zip archive data, version 0.4
7.92018;220;374.873;0;346376;2586352;gpg;GPG symmetrically encrypted data (AES256 cipher)
7.91713;228;374.873;0;8.82188;53301;gpg;GPG symmetrically encrypted data (AES256 cipher)
5.35569;14048.4;374.873;15229;9.67859;59046;png;PNG image data, 1024 x 1024, 8-bit/color RGB, non-interlaced
7.91175;247.25;374.873;0;3.31522;16374;gpg;GPG symmetrically encrypted data (AES256 cipher)
7.8696;373.75;374.873;1;1.27248e+07;29958291;apk;Zip archive data, at least v2.0 to extract
7.67773;318.5;374.711;0;0.968474;637;nc;data
6.07149;3006;374.657;362;0.911211;253;7z;7-zip archive data, version 0.4
4.81996;292.714;374.664;218.5;0.918369;301;sh;ASCII text
4.65231;76714.2;374.873;157990;7.28696;43008;exe;PE32+ executable (GUI) x86-64, for MS Windows
6.49966;2231;374.661;197;0.915535;282;7z;7-zip archive data, version 0.4
4.9761;55221.5;374.873;126457;1.67462e+06;5523456;dll;PE32+ executable (DLL) (GUI) x86-64, for MS Windows
7.55279;148.5;374.688;0;0.942527;463;gpg;PGP RSA encrypted session key - keyid7.26678;226;374.663;0;0.916728;290;nc;data
7.63026;2534.25;374.873;5622;5.29005;29617;jar;Zip archive data, at least v2.0 to extract
7.16259;630;374.668;64;0.922246;327;7z;7-zip archive data, version 0.4
7.91644;218.75;374.873;1;1.69897e+06;5577296;128-cbc;openssl enc'd data with salted password
7.89905;280.75;374.873;0;1.69897e+06;5577296;128-ecb;openssl enc'd data with salted password
7.91755;226.75;374.873;0;1.69897e+06;5577296;192-ecb;openssl enc'd data with salted password
7.92451;215;374.873;0;1.69897e+06;5577296;192-cbc;openssl enc'd data with salted password
7.90022;289;374.873;0;1.69897e+06;5577296;256-ecb;openssl enc'd data with salted password
7.90584;259.5;374.873;0;1.69897e+06;5577296;256-cbc;openssl enc'd data with salted password
7.80435;518.75;374.873;14;1.69895e+06;5577266;png;PNG image data, 2560 x 1440, 8-bit/color RGBA, non-interlaced
6.32419;9981.2;374.873;4888;229.067;1530239;jpg;JPEG image data, JFIF standard 1.01, resolution (DPI), density 96x96, segment length 16, comment7.89703;294.5;374.873;0;1.69995e+06;5579459;gpg;PGP RSA encrypted session key - keyid
