3-gram Chi^2;Termination;File Command
1;gpg;GPG symmetrically encrypted data (AES256 cipher)
0;gpg;GPG symmetrically encrypted data (AES256 cipher)
0;gpg;GPG symmetrically encrypted data (AES256 cipher)
37;7z;7-zip archive data, version 0.4
1;gpg;GPG symmetrically encrypted data (AES256 cipher)
83167;png;PNG image data, 1024 x 1024, 8-bit/color RGB, non-interlaced
0;gpg;GPG symmetrically encrypted data (AES256 cipher)
1;apk;Zip archive data, at least v2.0 to extract
0;nc;data
362;7z;7-zip archive data, version 0.4
218.5;sh;ASCII text
193163;exe;PE32+ executable (GUI) x86-64, for MS Windows
197;7z;7-zip archive data, version 0.4
0;gpg;PGP RSA encrypted session key - keyid154087;dll;PE32+ executable (DLL) (GUI) x86-64, for MS Windows
0;nc;data
64;7z;7-zip archive data, version 0.4
18834;jar;Zip archive data, at least v2.0 to extract
0;128-ecb;openssl enc'd data with salted password
2;128-cbc;openssl enc'd data with salted password
0;192-cbc;openssl enc'd data with salted password
1;192-ecb;openssl enc'd data with salted password
0;256-ecb;openssl enc'd data with salted password
2;256-cbc;openssl enc'd data with salted password
6793;jpg;JPEG image data, JFIF standard 1.01, resolution (DPI), density 96x96, segment length 16, comment14;png;PNG image data, 2560 x 1440, 8-bit/color RGBA, non-interlaced
0;gpg;PGP RSA encrypted session key - keyid
