3-gram Chi^2;bytes;Termination;File Command
135;65537;gpg;GPG symmetrically encrypted data (AES256 cipher)
158;65537;7z;7-zip archive data, version 0.4
138;65537;gpg;GPG symmetrically encrypted data (AES256 cipher)
147;65537;gpg;GPG symmetrically encrypted data (AES256 cipher)
8;16373;gpg;GPG symmetrically encrypted data (AES256 cipher)
65;53300;gpg;GPG symmetrically encrypted data (AES256 cipher)
0;636;nc;data
218.5;300;sh;ASCII text
402793;59045;png;PNG image data, 1024 x 1024, 8-bit/color RGB, non-interlaced
262;65537;apk;Zip archive data, at least v2.0 to extract
362;252;7z;7-zip archive data, version 0.4
197;281;7z;7-zip archive data, version 0.4
4.53021e+06;65537;dll;PE32+ executable (DLL) (GUI) x86-64, for MS Windows
0;289;nc;data
64;326;7z;7-zip archive data, version 0.4
2.38879e+06;29616;jar;Zip archive data, at least v2.0 to extract
2.36681e+07;43007;exe;PE32+ executable (GUI) x86-64, for MS Windows
0;462;gpg;PGP RSA encrypted session key - keyid129;65537;128-ecb;openssl enc'd data with salted password
135;65537;192-cbc;openssl enc'd data with salted password
124;65537;192-ecb;openssl enc'd data with salted password
127;65537;128-cbc;openssl enc'd data with salted password
125;65537;256-ecb;openssl enc'd data with salted password
107223;65537;jpg;JPEG image data, JFIF standard 1.01, resolution (DPI), density 96x96, segment length 16, comment622;65537;png;PNG image data, 2560 x 1440, 8-bit/color RGBA, non-interlaced
131;65537;256-cbc;openssl enc'd data with salted password
146;65537;gpg;PGP RSA encrypted session key - keyid
