entropy;chi^2;limit;3-gram Chi^2;3-gram limit;Size;Termination;File Command
7.99993;248.993;461.875;210024;346376;2586352;gpg;GPG symmetrically encrypted data (AES256 cipher)
7.99999;265.889;997.955;9.73888e+06;1.27248e+07;29958374;gpg;GPG symmetrically encrypted data (AES256 cipher)
7.98774;285.397;376.039;8;3.31522;16374;gpg;GPG symmetrically encrypted data (AES256 cipher)
7.98584;737443;997.953;7.67479e+09;1.27248e+07;29958291;apk;Zip archive data, at least v2.0 to extract
6.07149;3006;374.657;362;0.911211;253;7z;7-zip archive data, version 0.4
6.49966;2231;374.661;197;0.915535;282;7z;7-zip archive data, version 0.4
6.59631;4.29962e+07;535.76;1.44515e+10;1.67462e+06;5523456;dll;PE32+ executable (DLL) (GUI) x86-64, for MS Windows
7.26678;226;374.663;0;0.916728;290;nc;data
7.16259;630;374.668;64;0.922246;327;7z;7-zip archive data, version 0.4
7.99996;284.767;537.027;1.02192e+06;1.69897e+06;5577296;128-ecb;openssl enc'd data with salted password
7.99997;262.67;537.027;1.0218e+06;1.69897e+06;5577296;192-cbc;openssl enc'd data with salted password
7.99308;16560.3;431.647;440115;229.069;1530239;jpg;JPEG image data, JFIF standard 1.01, resolution (DPI), density 96x96, segment length 16, comment7.99997;254.019;537.027;1.02029e+06;1.69897e+06;5577296;256-ecb;openssl enc'd data with salted password
7.99941;258438;3996;3.13915e+07;1.41763e+08;315296541;7z;7-zip archive data, version 0.4
7.99675;240.707;378.341;65;8.82188;53301;gpg;GPG symmetrically encrypted data (AES256 cipher)
7.67773;318.5;374.711;0;0.968474;637;nc;data
4.81996;292.714;374.664;218.5;0.918369;301;sh;ASCII text
7.44126;75381.7;376.924;2.38879e+06;5.29005;29617;jar;Zip archive data, at least v2.0 to extract
8;1465.69;4001.04;1.81994e+07;1.42056e+08;315944882;gpg;GPG symmetrically encrypted data (AES256 cipher)
7.99997;233.837;537.027;1.02023e+06;1.69897e+06;5577296;192-ecb;openssl enc'd data with salted password
7.78822;31824.7;378.665;402793;9.67859;59046;png;PNG image data, 1024 x 1024, 8-bit/color RGB, non-interlaced
5.34651;1.44135e+06;377.744;2.36681e+07;7.28696;43008;exe;PE32+ executable (GUI) x86-64, for MS Windows
7.55279;148.5;374.688;0;0.942527;463;gpg;PGP RSA encrypted session key - keyid7.98931;82153.5;537.026;8.48515e+06;1.69895e+06;5577266;png;PNG image data, 2560 x 1440, 8-bit/color RGBA, non-interlaced
7.99996;287.182;537.027;1.02181e+06;1.69897e+06;5577296;128-cbc;openssl enc'd data with salted password
7.99997;228.127;537.027;1.02298e+06;1.69897e+06;5577296;256-cbc;openssl enc'd data with salted password
7.99997;258.85;537.077;1.02408e+06;1.69995e+06;5579459;gpg;PGP RSA encrypted session key - keyid
