entropy	chi^2	limit	3-gram Chi^2	3-gram limit	Size	Termination	File Command		Size	3-gram limit	2500000	350000
7.99996	287.182	537.027	1021810	1698970	5577296	128-cbc	openssl enc'd data with salted password		5577296	1698970	5500000	1700000
7.99996	284.767	537.027	1021920	1698970	5577296	128-ecb	openssl enc'd data with salted password		5577296	1698970	30000000	13000000
7.99997	262.67	537.027	1021800	1698970	5577296	192-cbc	openssl enc'd data with salted password		5577296	1698970	300000000	140000000
7.99997	233.837	537.027	1020230	1698970	5577296	192-ecb	openssl enc'd data with salted password		5577296	1698970		
7.99997	228.127	537.027	1022980	1698970	5577296	256-cbc	openssl enc'd data with salted password		5577296	1698970		
7.99993	248.993	461.875	210024	346376	2586352	gpg	GPG symmetrically encrypted data (AES256 cipher)					
7.99999	265.889	997.955	9738880	12724800	29958374	gpg	GPG symmetrically encrypted data (AES256 cipher)		29958374	12724800		
7.98774	285.397	376.039	8	3.31522	16374	gpg	GPG symmetrically encrypted data (AES256 cipher)		16374	3.31522		
7.99675	240.707	378.341	65	8.82188	53301	gpg	GPG symmetrically encrypted data (AES256 cipher)		53301	8.82188		
8	1465.69	4001.04	18199400	142056000	315944882	gpg	GPG symmetrically encrypted data (AES256 cipher)		315944882	142056000		
7.55279	148.5	374.688	0	0.942527	463	gpg	PGP RSA encrypted session key - keyid		463	0.942527		
7.99997	258.85	537.077	1024080	1699950	5579459	gpg	PGP RSA encrypted session key - keyid		5579459	1699950		
7.26678	226	374.663	0	0.916728	290	nc	data		290	0.916728		
7.67773	318.5	374.711	0	0.968474	637	nc	data		637	0.968474		
7.99997	254.019	537.027	1020290	1698970	5577296	256-ecb	openssl enc'd data with salted password		5577296	1698970		
												
												
7.44126	75381.7	376.924	2388790	5.29005	29617	jar	Zip archive data, at least v2.0 to extract					
7.99308	16560.3	431.647	440115	229.069	1530239	jpg	JPEG image data, JFIF standard 1.01, resolution (DPI), density 96x96, segment length 16, comment					
7.78822	31824.7	378.665	402793	9.67859	59046	png	PNG image data, 1024 x 1024, 8-bit/color RGB, non-interlaced					
7.98931	82153.5	537.026	8485150	1698950	5577266	png	PNG image data, 2560 x 1440, 8-bit/color RGBA, non-interlaced					
7.16259	630	374.668	64	0.922246	327	7z	7-zip archive data, version 0.4					
7.99941	258438	3996	31391500	141763000	315296541	7z	7-zip archive data, version 0.4					
7.98584	737443	997.953	7674790000	12724800	29958291	apk	Zip archive data, at least v2.0 to extract					
6.59631	42996200	535.76	14451500000	1674620	5523456	dll	PE32+ executable (DLL) (GUI) x86-64, for MS Windows					
