Chi^2;Size;Entropy;Termination
442.642;13716;7.97729;png
437.181;5752;7.94917;png
339.276;7453;7.96886;png
350.556;4752;7.94874;png
350.867;7878;7.97017;png
358.938;4237;7.93996;png
449.453;10765;7.97031;png
408.483;45696;7.99355;png
406.343;24597;7.98829;png
418.422;11603;7.9744;png
417.103;17469;7.9831;png
384;9950;7.97324;png
418.422;11603;7.9744;png
394.728;8694;7.97023;png
391.819;2988;7.92292;png
338.584;3137;7.93125;png
337.143;3618;7.93586;png
423.251;3285;7.92263;png
428.4;2594;7.89722;png
414.625;2247;7.89348;png
445.832;1675;7.84226;png
433.445;2379;7.88636;png
413.75;2128;7.88038;png
388.334;2507;7.91291;png
415.111;2450;7.89798;png
449.571;1929;7.85406;png
381.5;1034;7.75683;png
382.668;833;7.71228;png
404.334;726;7.60272;png
432.334;818;7.64575;png
424.56;17113;7.9835;png
379.063;8248;7.96797;png
449.639;51727;7.99376;png
431;386;7.18768;png
432;338;6.96593;png
333.241;7588;7.96895;png
351.6;1288;7.80734;png
368.824;21912;7.98806;png
331.593;20967;7.9889;png
359.963;20777;7.9876;png
449.89;7161;7.95746;png
344.095;5458;7.95559;png
441.455;11404;7.97269;png
318.256;22208;7.98968;png
447.633;50993;7.99375;png
369.682;245627;7.99892;aar
429.915;241502;7.99872;aar
372.217;242297;7.9989;aar
374.294;242210;7.9989;aar
338.027;242514;7.99899;aar
407.048;242570;7.99879;aar
374.34;155989;7.99827;aar
320.267;3938;7.94394;png
335.931;7556;7.96895;png
446.954;5765;7.94629;png
384.3;2645;7.90553;png
397.933;4057;7.9349;png
423.8;1273;7.77217;png
415.625;2289;7.89396;png
338.417;6282;7.96255;png
338.417;6282;7.96255;png
342.5;421;7.18457;png
305.606;149250;7.99852;aar
344.933;149239;7.99833;aar
395.243;149321;7.9981;aar
353.049;156712;7.99836;aar
330.984;156680;7.99848;aar
392.287;314292;7.9991;aar
428.258;314292;7.99901;aar
444.786;314523;7.99898;aar
341.001;338380;7.99927;aar
378.236;336974;7.99919;aar
348.781;74878;7.99668;aar
362.371;76565;7.99661;aar
363.358;76646;7.9966;aar
359.126;115972;7.99777;aar
310.949;91268;7.99756;aar
311.084;92135;7.99759;aar
373.164;73674;7.99638;aar
359.567;74530;7.99655;aar
319.482;57390;7.99604;aar
350.725;57627;7.9957;aar
359.294;57725;7.99564;aar
365.173;47439;7.99467;aar
384.74;47423;7.99444;aar
433.656;26347;7.98932;aar
315.774;56780;7.99607;aar
367.386;57197;7.99551;aar
237.508;95409;7.99822;aar
349.12;98093;7.99747;aar
377.531;36825;7.99326;aar
431.07;36908;7.99205;aar
441.348;39111;7.99261;aar
397.243;39151;7.99319;aar
427.306;361317;7.99914;aar
389.628;361421;7.99922;aar
332.385;259568;7.99908;aar
370.677;259079;7.99897;aar
383.93;301794;7.99908;aar
432.472;387387;7.99919;aar
383.176;375062;7.99926;aar
405.195;375189;7.99922;aar
371.621;309244;7.99913;aar
373.587;309150;7.99913;aar
387.805;491577;7.99943;aar
426.164;557577;7.99945;aar
424.446;557650;7.99945;aar
425.169;36408;7.99206;aar
417.582;37479;7.99264;aar
401.541;37559;7.99285;aar
420.239;35493;7.99211;aar
449.797;35488;7.99158;aar
420.465;54765;7.99467;aar
339.978;58949;7.99593;aar
378.787;35067;7.99287;aar
401.928;35100;7.9925;aar
431.891;35245;7.99188;aar
429.719;36422;7.99214;aar
313.709;101930;7.99779;aar
327.686;97049;7.99758;aar
327.757;97154;7.99758;aar
313.371;81652;7.99726;aar
331.009;81663;7.99711;aar
302.314;92962;7.99766;aar
304.409;98551;7.9978;aar
347.592;98665;7.99746;aar
317.036;114232;7.99801;aar
382.505;47169;7.99437;aar
385.877;49952;7.99472;aar
386.231;50103;7.99477;aar
346.023;44904;7.99461;aar
303.36;44836;7.99535;aar
441.359;40128;7.99255;aar
403.809;44477;7.99407;aar
437.782;20049;7.9862;aar
429.908;25343;7.98958;aar
445.297;28556;7.98983;aar
420.037;27412;7.98985;aar
421.814;24968;7.98892;aar
433.391;24973;7.98863;aar
362.127;209382;7.99876;aar
370.592;210529;7.99873;aar
308.364;210535;7.99895;aar
316.321;181193;7.99874;aar
356.523;181054;7.99858;aar
333.117;129205;7.99815;aar
338.374;207651;7.99882;aar
317.83;221913;7.99897;aar
332.045;225094;7.99894;aar
387.595;210925;7.99867;aar
365.193;213922;7.99877;aar
327.484;214027;7.99889;aar
380.82;213905;7.99872;aar
394.845;211819;7.99865;aar
382.453;236649;7.99883;aar
415.699;236778;7.99873;aar
358.695;235824;7.9989;aar
374.655;235535;7.99885;aar
331.888;158035;7.99849;aar
352.285;158024;7.99838;aar
379.867;157858;7.99826;aar
348.043;190786;7.99869;aar
356.975;204968;7.99874;aar
333.748;203300;7.99881;aar
344.068;203050;7.99877;aar
373.629;203096;7.99867;aar
325.487;184191;7.99872;aar
347.845;105732;7.99762;aar
359.011;46648;7.99464;aar
384.962;47275;7.99451;aar
387.439;46728;7.99433;aar
361.605;52707;7.99524;aar
371.112;52734;7.99514;aar
373.407;271893;7.99901;aar
445.133;272689;7.99881;aar
336.685;272779;7.99911;aar
361.375;245030;7.99893;aar
364.533;247244;7.99894;aar
426.187;270352;7.99886;aar
398.452;270352;7.99893;aar
349.122;270152;7.99906;aar
405.424;272219;7.99892;aar
349.193;272252;7.99907;aar
431.569;22129;7.98744;aar
406.093;22138;7.98841;aar
410.898;55279;7.99478;aar
406.158;56975;7.995;aar
375.868;58264;7.99553;aar
311.167;1537;7.85425;png
