Size	Entropy	Chi^2	Pi Error	Termination	Command
315944882	8	1465.69/4001	0.148681	gpg	GPG symmetrically encrypted data (AES256 cipher)
29958374	7.99999	265.889/997	0.14869	gpg	GPG symmetrically encrypted data (AES256 cipher)
29958374	7.99999	265.889/997	0.14869	gpg	GPG symmetrically encrypted data (AES256 cipher)
5577296	7.99997	228.127/537	0.148841	256-cbc	openssl enc'd data with salted password
5577296	7.99997	228.127/537	0.148841	256-cbc	openssl enc'd data with salted password
5577296	7.99997	233.837/537	0.148249	192-ecb	openssl enc'd data with salted password
5577296	7.99997	233.837/537	0.148249	192-ecb	openssl enc'd data with salted password
5577296	7.99997	254.018/537	0.148773	256-ecb	openssl enc'd data with salted password
5577296	7.99997	254.018/537	0.148773	256-ecb	openssl enc'd data with salted password
5577296	7.99997	262.67/537	0.147624	192-cbc	openssl enc'd data with salted password
5577296	7.99997	262.67/537	0.147624	192-cbc	openssl enc'd data with salted password
5577296	7.99997	284.767/537	0.148223	128-ecb	openssl enc'd data with salted password
5577296	7.99997	284.767/537	0.148223	128-ecb	openssl enc'd data with salted password
5579459	7.99996	258.85/537	0.150152	gpg	PGP RSA encrypted session key - keyid
5579459	7.99996	258.85/537	0.150152	gpg	PGP RSA encrypted session key - keyid
5577296	7.99996	287.182/537	0.149172	128-cbc	openssl enc'd data with salted password
5577296	7.99996	287.182/537	0.149172	128-cbc	openssl enc'd data with salted password
2586352	7.99993	248.993/461	0.149527	gpg	GPG symmetrically encrypted data (AES256 cipher)
2586352	7.99993	248.993/461	0.149527	gpg	GPG symmetrically encrypted data (AES256 cipher)
638808	7.99954	400.059/402	0.148365	aar	Zip archive data, at least v1.0 to extract
519049	7.99945	392.923/398	0.151642	aar	Zip archive data, at least v1.0 to extract
491577	7.99943	387.805/397	0.147602	aar	Zip archive data, at least v1.0 to extract
371795	7.99935	336.663/392	0.14604	aar	Zip archive data, at least v2.0 to extract
375079	7.99935	339.292/392	0.15244	aar	Zip archive data, at least v2.0 to extract
371795	7.99933	343.762/392	0.145598	aar	Zip archive data, at least v2.0 to extract
338380	7.99927	341.001/391	0.148182	aar	Zip archive data, at least v2.0 to extract
375062	7.99926	383.176/392	0.146645	aar	Zip archive data, at least v2.0 to extract
360831	7.99925	371.561/392	0.14774	aar	Zip archive data, at least v1.0 to extract
375688	7.99925	389.402/392	0.153895	aar	Zip archive data, at least v2.0 to extract
322017	7.99923	342.562/390	0.149576	aar	Zip archive data, at least v1.0 to extract
361423	7.99922	388.831/392	0.152491	aar	Zip archive data, at least v2.0 to extract
361421	7.99922	389.628/392	0.148542	aar	Zip archive data, at least v2.0 to extract
336974	7.99919	378.236/391	0.147652	aar	Zip archive data, at least v2.0 to extract
296136	7.99918	338.493/389	0.15258	aar	Zip archive data, at least v2.0 to extract
253223	7.99916	293.768/387	0.148941	aar	Zip archive data, at least v1.0 to extract
262077	7.99916	303.205/388	0.14599	aar	Zip archive data, at least v1.0 to extract
296176	7.99916	346.036/389	0.15141	aar	Zip archive data, at least v2.0 to extract
309156	7.99916	359.682/390	0.151017	aar	Zip archive data, at least v2.0 to extract
313882	7.99916	363.768/390	0.150492	aar	Zip archive data, at least v1.0 to extract
259881	7.99915	304.708/388	0.146328	aar	Zip archive data, at least v2.0 to extract
309150	7.99914	368.095/390	0.147726	aar	Zip archive data, at least v2.0 to extract
314305	7.99914	373.381/390	0.150712	aar	Zip archive data, at least v2.0 to extract
235552	7.99913	281.72/387	0.148568	aar	Zip archive data, at least v2.0 to extract
291585	7.99913	351.737/389	0.147947	aar	Zip archive data, at least v2.0 to extract
309244	7.99913	371.621/390	0.148942	aar	Zip archive data, at least v2.0 to extract
309150	7.99913	373.587/390	0.147628	aar	Zip archive data, at least v2.0 to extract
310022	7.99912	377.782/390	0.150052	aar	Zip archive data, at least v1.0 to extract
315392	7.99912	384.18/390	0.152171	aar	Zip archive data, at least v2.0 to extract
272779	7.99911	336.685/388	0.146371	aar	Zip archive data, at least v2.0 to extract
291546	7.9991	362.141/389	0.151986	aar	Zip archive data, at least v2.0 to extract
294303	7.99909	372.3/389	0.146731	aar	Zip archive data, at least v2.0 to extract
259568	7.99908	332.385/388	0.146229	aar	Zip archive data, at least v2.0 to extract
292372	7.99908	371.946/389	0.149802	aar	Zip archive data, at least v2.0 to extract
291548	7.99908	372.605/389	0.148405	aar	Zip archive data, at least v2.0 to extract
294379	7.99908	373.395/389	0.146645	aar	Zip archive data, at least v2.0 to extract
292530	7.99908	373.99/389	0.150164	aar	Zip archive data, at least v2.0 to extract
301794	7.99908	383.93/389	0.147748	aar	Zip archive data, at least v1.0 to extract
235741	7.99907	304.775/387	0.145816	aar	Zip archive data, at least v2.0 to extract
238795	7.99907	307.802/387	0.14959	aar	Zip archive data, at least v1.0 to extract
272252	7.99907	349.193/388	0.145824	aar	Zip archive data, at least v2.0 to extract
248820	7.99906	322.898/387	0.148062	aar	Zip archive data, at least v1.0 to extract
270152	7.99906	349.122/388	0.150933	aar	Zip archive data, at least v2.0 to extract
270080	7.99906	349.78/388	0.150537	aar	Zip archive data, at least v2.0 to extract
269862	7.99906	350.755/388	0.147484	aar	Zip archive data, at least v2.0 to extract
