Entropy 2-grams	Chi^2 2-grams	Entropy 3-grams	Chi^2 3-grams	Size	Termination	File Command	10.3887524951	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016
15.9915	65719.6	22.1003	1021810	5577296	128-cbc	openssl enc'd data with salted password									
15.9915	65719.6	22.1003	1021810	5577296	128-cbc	openssl enc'd data with salted password									
15.9915	65357.8	22.1001	1021920	5577296	128-ecb	openssl enc'd data with salted password	16300								
15.9915	65357.8	22.1001	1021920	5577296	128-ecb	openssl enc'd data with salted password	15000000.55								
15.9915	65868.6	22.1001	1021800	5577296	192-cbc	openssl enc'd data with salted password									
15.9915	65789.1	22.1004	1020230	5577296	192-ecb	openssl enc'd data with salted password	35000000								
15.9915	65789.1	22.1004	1020230	5577296	192-ecb	openssl enc'd data with salted password									
15.9915	65789.1	22.1004	1020230	5577296	192-ecb	openssl enc'd data with salted password	35000000	15000000							
15.9915	65401.3	22.0997	1022980	5577296	256-cbc	openssl enc'd data with salted password	350000000	20000000							
15.9915	65401.3	22.0997	1022980	5577296	256-cbc	openssl enc'd data with salted password	2500000	250000							
15.9915	65927.5	22.1006	1020290	5577296	256-ecb	openssl enc'd data with salted password									
15.9915	65927.5	22.1006	1020290	5577296	256-ecb	openssl enc'd data with salted password									
15.4462	120691	16.6135	5499	101426	aar	Zip archive data, at least v1.0 to extract									
15.7842	114045	17.8772	34597	245627	aar	Zip archive data, at least v1.0 to extract									
15.71	113892	17.4729	6450	184207	aar	Zip archive data, at least v1.0 to extract									
15.7066	113665	17.4637	7367	183035	aar	Zip archive data, at least v1.0 to extract									
15.4306	113391	16.5642	5541	98093	aar	Zip archive data, at least v1.0 to extract									
15.7753	113379	17.8505	37482	241987	aar	Zip archive data, at least v1.0 to extract									
15.4197	112005	16.5532	5556	97318	aar	Zip archive data, at least v1.0 to extract									
15.7082	111660	17.4651	7039	183119	aar	Zip archive data, at least v1.0 to extract									
15.7051	110976	17.4534	7188	181582	aar	Zip archive data, at least v1.0 to extract		1500000							
15.7811	110567	17.8574	34232	242210	aar	Zip archive data, at least v1.0 to extract									
15.7818	110192	17.8582	35375	242297	aar	Zip archive data, at least v1.0 to extract									
15.7795	107565	17.86	31157	242514	aar	Zip archive data, at least v1.0 to extract									
15.781	107537	17.8619	30393	242588	aar	Zip archive data, at least v1.0 to extract	500                  1								
15.7943	107355	17.9266	14331	253223	aar	Zip archive data, at least v1.0 to extract	1000                  2								
15.7904	102235	17.9018	13576	248820	aar	Zip archive data, at least v1.0 to extract	16000                 10								
15.7866	102093	17.887	14342	246338	aar	Zip archive data, at least v1.0 to extract	50000                 75								
15.423	101975	16.5278	2884	95409	aar	Zip archive data, at least v1.0 to extract	2500000	250000							
15.365	100967	16.4216	9547	89042	aar	Zip archive data, at least v1.0 to extract	5000000	1500000							
15.7886	100261	17.8868	14148	246366	aar	Zip archive data, at least v1.0 to extract	35000000	15000000							
15.7886	100114	17.884	13702	245763	aar	Zip archive data, at least v1.0 to extract	350000000	30000000							
15.3918	99991	16.4755	5444	92202	aar	Zip archive data, at least v1.0 to extract									
15.8416	97183	18.2734	8868	322017	aar	Zip archive data, at least v1.0 to extract									
15.649	94942	17.2255	25067	155989	aar	Zip archive data, at least v1.0 to extract									
15.9197	93972.6	19.2376	87144	638808	aar	Zip archive data, at least v1.0 to extract									
15.7805	93493.7	17.8422	13777	238795	aar	Zip archive data, at least v1.0 to extract									
15.681	93308.5	17.3502	6195	169134	aar	Zip archive data, at least v1.0 to extract									
15.6778	92064.5	17.3395	6284	167834	aar	Zip archive data, at least v1.0 to extract									
15.8367	91471.3	18.2361	9081	313882	aar	Zip archive data, at least v1.0 to extract									
15.3483	89975	16.3805	6059	86427	aar	Zip archive data, at least v1.0 to extract									
15.3561	89856	16.3894	5995	86941	aar	Zip archive data, at least v1.0 to extract									
15.6747	89244	17.3233	6051	165885	aar	Zip archive data, at least v1.0 to extract									
15.7812	88594.3	17.8509	4609	239451	aar	Zip archive data, at least v1.0 to extract									
15.836	88259.8	18.2188	8610	310022	aar	Zip archive data, at least v1.0 to extract									
15.8041	87171.3	18.017	41572	271776	aar	Zip archive data, at least v1.0 to extract									
15.8014	87087	18.016	41444	271615	aar	Zip archive data, at least v1.0 to extract									
15.3385	86771	16.3564	5932	84966	aar	Zip archive data, at least v1.0 to extract									
15.3407	86523	16.3577	5951	85064	aar	Zip archive data, at least v1.0 to extract									
15.9035	86065.3	18.9507	14594	519049	aar	Zip archive data, at least v1.0 to extract									
15.832	81576.8	18.1821	5613	301794	aar	Zip archive data, at least v1.0 to extract									
15.8576	81528	18.4337	15946	360831	aar	Zip archive data, at least v1.0 to extract									
15.7983	81364.5	17.9786	37858	264471	aar	Zip archive data, at least v1.0 to extract									
15.7666	78492.3	17.7607	7199	225094	aar	Zip archive data, at least v1.0 to extract									
15.7621	76405.3	17.7408	6959	221913	aar	Zip archive data, at least v1.0 to extract									
15.8982	76017.1	18.8747	13585	491577	aar	Zip archive data, at least v1.0 to extract									
15.7272	71546	17.5715	21011	199090	aar	Zip archive data, at least v1.0 to extract									
15.7457	66211	17.6454	6618	207651	aar	Zip archive data, at least v1.0 to extract									
15.709	66200.7	17.4821	20379	187108	aar	Zip archive data, at least v1.0 to extract									
15.7431	65970.7	17.6334	6715	205871	aar	Zip archive data, at least v1.0 to extract									
15.2321	65370	16.1348	5339	72920	aar	Zip archive data, at least v1.0 to extract									
15.8034	64654.5	17.9788	7558	262077	aar	Zip archive data, at least v1.0 to extract									
15.2328	64111	16.1271	5369	72548	aar	Zip archive data, at least v1.0 to extract									
15.2249	64088	16.1194	5458	72157	aar	Zip archive data, at least v1.0 to extract									
15.5259	63848.5	16.8382	21731	120212	aar	Zip archive data, at least v1.0 to extract									
15.2308	63384	16.1207	5401	72207	aar	Zip archive data, at least v1.0 to extract									
15.2158	62434	16.0978	5362	71090	aar	Zip archive data, at least v1.0 to extract									
15.187	58010	16.0319	5377	67945	aar	Zip archive data, at least v1.0 to extract									
15.5023	55834.5	16.7704	18542	114580	aar	Zip archive data, at least v1.0 to extract									
15.5021	54342	16.7612	18398	113841	aar	Zip archive data, at least v1.0 to extract									
15.502	54240.5	16.764	18163	114048	aar	Zip archive data, at least v1.0 to extract									
15.5714	53821	16.9623	5982	129205	aar	Zip archive data, at least v1.0 to extract									
15.568	52756.5	16.9544	5705	128402	aar	Zip archive data, at least v1.0 to extract									
15.5504	48855.5	16.8931	5782	123122	aar	Zip archive data, at least v1.0 to extract									
15.5508	48787	16.8889	5727	122789	aar	Zip archive data, at least v1.0 to extract									
15.571	48769	16.9448	3131	127419	aar	Zip archive data, at least v1.0 to extract									
15.0781	47204	15.8256	5423	58949	aar	Zip archive data, at least v1.0 to extract									
15.5481	46352.5	16.8957	3133	123144	aar	Zip archive data, at least v1.0 to extract									
15.5342	46022	16.842	5644	118819	aar	Zip archive data, at least v1.0 to extract									
15.4983	45700	16.7543	9903	112083	aar	Zip archive data, at least v1.0 to extract									
15.0144	44687	15.7491	5412	55960	aar	Zip archive data, at least v1.0 to extract									
15.5184	43943.5	16.8068	5655	115972	aar	Zip archive data, at least v1.0 to extract									
15.5109	43154.5	16.7853	5630	114232	aar	Zip archive data, at least v1.0 to extract									
14.9772	40550	15.6664	5417	52868	aar	Zip archive data, at least v1.0 to extract									
14.9803	40484	15.6696	5388	52973	aar	Zip archive data, at least v1.0 to extract									
15.4941	39688	16.7262	5583	109649	aar	Zip archive data, at least v1.0 to extract									
14.9258	27421	15.578	1648	49383	aar	Zip archive data, at least v1.0 to extract									
15.4263	130584	16.573	15183	98997	aar	Zip archive data, at least v2.0 to extract									
15.428	130416	16.572	15266	98990	aar	Zip archive data, at least v2.0 to extract									
15.429	130101	16.5732	15162	99045	aar	Zip archive data, at least v2.0 to extract									
15.4288	129448	16.572	15155	98930	aar	Zip archive data, at least v2.0 to extract									
15.4463	125446	16.6249	7292	102194	aar	Zip archive data, at least v2.0 to extract									
15.4552	125311	16.6273	7560	102392	aar	Zip archive data, at least v2.0 to extract									
15.4554	125278	16.6273	7560	102392	aar	Zip archive data, at least v2.0 to extract									
15.4506	124947	16.6289	7284	102469	aar	Zip archive data, at least v2.0 to extract									
15.4506	124944	16.629	7263	102469	aar	Zip archive data, at least v2.0 to extract									
15.449	124022	16.6208	7300	101933	aar	Zip archive data, at least v2.0 to extract									
15.4492	123990	16.6208	7302	101930	aar	Zip archive data, at least v2.0 to extract									
15.4529	123743	16.6262	7296	102286	aar	Zip archive data, at least v2.0 to extract									
15.4592	123538	16.6281	7324	102446	aar	Zip archive data, at least v2.0 to extract									
15.4531	123358	16.6252	7267	102194	aar	Zip archive data, at least v2.0 to extract									
15.4533	122226	16.6252	6759	102157	aar	Zip archive data, at least v2.0 to extract									
15.4537	122204	16.6256	6759	102205	aar	Zip archive data, at least v2.0 to extract									
15.4542	122109	16.6258	6722	102205	aar	Zip archive data, at least v2.0 to extract									
15.4523	121658	16.6261	6015	102240	aar	Zip archive data, at least v2.0 to extract									
15.4536	121653	16.626	6010	102240	aar	Zip archive data, at least v2.0 to extract									
15.4523	121646	16.6263	5973	102240	aar	Zip archive data, at least v2.0 to extract									
15.4325	115724	16.574	7318	98665	aar	Zip archive data, at least v2.0 to extract									
15.4322	114968	16.573	7190	98544	aar	Zip archive data, at least v2.0 to extract									
15.4339	114916	16.573	7207	98551	aar	Zip archive data, at least v2.0 to extract									
15.7078	113817	17.4713	7814	184191	aar	Zip archive data, at least v2.0 to extract									
15.7112	113276	17.4726	7613	184155	aar	Zip archive data, at least v2.0 to extract									
15.7102	112855	17.4708	7604	183920	aar	Zip archive data, at least v2.0 to extract									
15.7103	112831	17.4708	7604	183920	aar	Zip archive data, at least v2.0 to extract									
15.4247	112718	16.5505	7211	97049	aar	Zip archive data, at least v2.0 to extract									
15.4211	112546	16.5523	7221	97154	aar	Zip archive data, at least v2.0 to extract									
15.4249	112529	16.5532	7224	97243	aar	Zip archive data, at least v2.0 to extract									
15.4211	112526	16.5523	7220	97154	aar	Zip archive data, at least v2.0 to extract									
15.4199	111593	16.5444	7262	96679	aar	Zip archive data, at least v2.0 to extract									
15.4114	111311	16.534	7282	96026	aar	Zip archive data, at least v2.0 to extract									
15.4195	110544	16.5391	7246	96311	aar	Zip archive data, at least v2.0 to extract									
15.4176	110487	16.5391	7261	96319	aar	Zip archive data, at least v2.0 to extract									
15.4168	110442	16.5355	7335	96104	aar	Zip archive data, at least v2.0 to extract									
15.7012	110416	17.446	8224	181059	aar	Zip archive data, at least v2.0 to extract									
