Entropy 2-grams	Chi^2 2-grams	Entropy 3-grams	Chi^2 3-grams	Entropy 4-grams	Chi^2 4-grams	Size	Termination	File Command
8.72116	104556000	9.03756	204073000	9.2503	285780000	315944882	gpg	GPG symmetrically encrypted data (AES256 cipher)
8.72116	104556000	9.03756	204073000	9.2503	285780000	315944882	gpg	GPG symmetrically encrypted data (AES256 cipher)
8.7214	9907220	9.03787	19339300	9.25064	26693500	29958374	gpg	GPG symmetrically encrypted data (AES256 cipher)
8.7214	9907220	9.03787	19339300	9.25064	26693500	29958374	gpg	GPG symmetrically encrypted data (AES256 cipher)
8.72045	1851300	9.03631	3576270	9.24886	4838920	5577296	192-ecb	openssl enc'd data with salted password
8.72061	1850160	9.03684	3585230	9.24971	4811630	5577296	192-cbc	openssl enc'd data with salted password
8.7208	1848860	9.03703	3570930	9.24967	4798850	5577296	128-ecb	openssl enc'd data with salted password
8.7208	1848860	9.03703	3570930	9.24967	4798850	5577296	128-ecb	openssl enc'd data with salted password
8.7208	1848860	9.03703	3570930	9.24967	4798850	5577296	128-ecb	openssl enc'd data with salted password
8.72128	1845420	9.03791	3552170	9.25045	4783370	5577296	256-cbc	openssl enc'd data with salted password
8.72128	1845420	9.03791	3552170	9.25045	4783370	5577296	256-cbc	openssl enc'd data with salted password
8.72128	1845420	9.03791	3552170	9.25045	4783370	5577296	256-cbc	openssl enc'd data with salted password
8.72161	1843320	9.03791	3589350	9.25075	4782530	5577296	256-ecb	openssl enc'd data with salted password
8.72161	1843320	9.03791	3589350	9.25075	4782530	5577296	256-ecb	openssl enc'd data with salted password
8.72161	1843320	9.03791	3589350	9.25075	4782530	5577296	256-ecb	openssl enc'd data with salted password
8.72181	1841520	9.0385	3572830	9.25146	4805530	5579459	gpg	PGP RSA encrypted session key - keyid
8.72181	1841520	9.0385	3572830	9.25146	4805530	5579459	gpg	PGP RSA encrypted session key - keyid
8.72181	1841520	9.0385	3572830	9.25146	4805530	5579459	gpg	PGP RSA encrypted session key - keyid
8.72197	1840820	9.03882	3546890	9.25175	4796440	5577296	128-cbc	openssl enc'd data with salted password
8.72197	1840820	9.03882	3546890	9.25175	4796440	5577296	128-cbc	openssl enc'd data with salted password
8.72197	1840820	9.03882	3546890	9.25175	4796440	5577296	128-cbc	openssl enc'd data with salted password
8.72136	855344	9.03775	1642360	9.2506	2173630	2586352	gpg	GPG symmetrically encrypted data (AES256 cipher)
8.72136	855344	9.03775	1642360	9.2506	2173630	2586352	gpg	GPG symmetrically encrypted data (AES256 cipher)
8.72136	855344	9.03775	1642360	9.2506	2173630	2586352	gpg	GPG symmetrically encrypted data (AES256 cipher)
8.72151	212685	9.04001	401464	9.25539	519673	638808	aar	Zip archive data, at least v1.0 to extract
8.72469	170732	9.0444	325372	9.25995	413267	519049	aar	Zip archive data, at least v1.0 to extract
8.72134	163510	9.04018	308530	9.25441	393603	491577	aar	Zip archive data, at least v1.0 to extract
8.72134	163510	9.04018	308530	9.25441	393603	491577	aar	Zip archive data, at least v1.0 to extract
8.71936	124842	9.03755	231379	9.25112	291017	371795	aar	Zip archive data, at least v2.0 to extract
8.72264	124410	9.042	231673	9.25658	298081	375062	aar	Zip archive data, at least v2.0 to extract
8.72264	124410	9.042	231673	9.25658	298081	375062	aar	Zip archive data, at least v2.0 to extract
8.72458	123575	9.0458	230872	9.26218	294370	375688	aar	Zip archive data, at least v2.0 to extract
8.72461	123308	9.0463	231077	9.26242	295506	375079	aar	Zip archive data, at least v2.0 to extract
8.72219	119727	9.04075	225632	9.25451	287036	361421	aar	Zip archive data, at least v2.0 to extract
8.72219	119727	9.04075	225632	9.25451	287036	361421	aar	Zip archive data, at least v2.0 to extract
8.72175	119716	9.04053	221721	9.25435	282412	361423	aar	Zip archive data, at least v2.0 to extract
8.71936	113318	9.0378	209336	9.25127	270501	338380	aar	Zip archive data, at least v2.0 to extract
8.71936	113318	9.0378	209336	9.25127	270501	338380	aar	Zip archive data, at least v2.0 to extract
8.72127	112639	9.04215	210096	9.25789	264639	336974	aar	Zip archive data, at least v2.0 to extract
8.72127	112639	9.04215	210096	9.25789	264639	336974	aar	Zip archive data, at least v2.0 to extract
8.7211	104599	9.0408	197144	9.25474	244870	314305	aar	Zip archive data, at least v2.0 to extract
8.72001	103497	9.03756	194474	9.25158	241981	309150	aar	Zip archive data, at least v2.0 to extract
8.72001	103319	9.03876	191405	9.25401	243475	309244	aar	Zip archive data, at least v2.0 to extract
8.72001	103319	9.03876	191405	9.25401	243475	309244	aar	Zip archive data, at least v2.0 to extract
8.71975	102994	9.03802	187999	9.25238	237119	309150	aar	Zip archive data, at least v2.0 to extract
8.71975	102994	9.03802	187999	9.25238	237119	309150	aar	Zip archive data, at least v2.0 to extract
8.72035	102940	9.04039	193477	9.25552	244033	309156	aar	Zip archive data, at least v2.0 to extract
8.72353	102320	9.04187	189676	9.25621	243274	310022	aar	Zip archive data, at least v1.0 to extract
8.7202	100586	9.04076	185470	9.25687	236143	301794	aar	Zip archive data, at least v1.0 to extract
8.7202	100586	9.04076	185470	9.25687	236143	301794	aar	Zip archive data, at least v1.0 to extract
8.72154	98270.9	9.04148	182483	9.25656	230319	296176	aar	Zip archive data, at least v2.0 to extract
8.72071	98212.2	9.03782	184035	9.25029	230896	294303	aar	Zip archive data, at least v2.0 to extract
8.7203	97636.2	9.04008	176304	9.25539	226098	292372	aar	Zip archive data, at least v2.0 to extract
8.72089	97500.1	9.03865	179494	9.25155	228384	291548	aar	Zip archive data, at least v2.0 to extract
8.72143	97313.9	9.0396	179918	9.25283	228579	291585	aar	Zip archive data, at least v2.0 to extract
8.71775	94558.1	9.03571	174354	9.251	221716	280322	aar	Zip archive data, at least v2.0 to extract
8.71719	92208.1	9.03481	169943	9.24887	211614	272252	aar	Zip archive data, at least v2.0 to extract
8.71719	92208.1	9.03481	169943	9.24887	211614	272252	aar	Zip archive data, at least v2.0 to extract
8.71693	91795.4	9.03533	167874	9.2486	208951	271893	aar	Zip archive data, at least v2.0 to extract
8.71693	91795.4	9.03533	167874	9.2486	208951	271893	aar	Zip archive data, at least v2.0 to extract
8.71971	91430.3	9.03611	168628	9.24897	211387	272779	aar	Zip archive data, at least v2.0 to extract
8.71971	91430.3	9.03611	168628	9.24897	211387	272779	aar	Zip archive data, at least v2.0 to extract
8.71986	91352.8	9.03726	170364	9.25031	210670	272783	aar	Zip archive data, at least v2.0 to extract
8.71871	91223.4	9.03568	166073	9.24775	207161	271890	aar	Zip archive data, at least v2.0 to extract
8.71996	90535.9	9.03774	169327	9.25175	210051	270080	aar	Zip archive data, at least v2.0 to extract
8.72024	90335	9.03806	168119	9.25137	213760	270152	aar	Zip archive data, at least v2.0 to extract
8.72024	90335	9.03806	168119	9.25137	213760	270152	aar	Zip archive data, at least v2.0 to extract
8.71985	90181.6	9.03835	167055	9.25198	207474	269862	aar	Zip archive data, at least v2.0 to extract
8.71749	88812.1	9.03509	162737	9.24845	205615	262077	aar	Zip archive data, at least v1.0 to extract
8.7164	88142.7	9.03481	162282	9.24934	203422	259171	aar	Zip archive data, at least v2.0 to extract
8.72006	86760	9.03656	161682	9.24906	205339	259568	aar	Zip archive data, at least v2.0 to extract
8.72006	86760	9.03656	161682	9.24906	205339	259568	aar	Zip archive data, at least v2.0 to extract
8.72059	86640.2	9.03992	158905	9.25472	200210	259084	aar	Zip archive data, at least v2.0 to extract
8.72315	86572.8	9.04229	162794	9.25698	203307	261961	aar	Zip archive data, at least v2.0 to extract
8.72212	86183.5	9.03992	160126	9.25295	200790	259079	aar	Zip archive data, at least v2.0 to extract
8.72212	86183.5	9.03992	160126	9.25295	200790	259079	aar	Zip archive data, at least v2.0 to extract
8.72244	86172.8	9.04228	160728	9.25725	203123	259881	aar	Zip archive data, at least v2.0 to extract
8.72188	84346	9.04229	158006	9.25754	194562	253223	aar	Zip archive data, at least v1.0 to extract
8.71971	83754.8	9.03838	152907	9.25278	191900	248820	aar	Zip archive data, at least v1.0 to extract
8.71713	83123.9	9.03711	152460	9.25332	191374	246429	aar	Zip archive data, at least v2.0 to extract
8.71827	83017.9	9.03692	150875	9.25204	190827	245627	aar	Zip archive data, at least v1.0 to extract
8.71827	83017.9	9.03692	150875	9.25204	190827	245627	aar	Zip archive data, at least v1.0 to extract
8.71994	82608.6	9.03877	150226	9.25346	192192	246366	aar	Zip archive data, at least v1.0 to extract
