Chi^2;Size;Entropy;Pi Error;Termination
30453.5;13665;5.1215;0.999255;h
581583;7328;3.29428;0.0131004;o
1.10981e+06;16456;4.09739;0.0449156;o
292.714;301;4.81996;1;sh
75381.7;29617;7.44126;0.491117;jar
233.837;5577296;7.99997;0.420564;192-ecb
82153.5;5577266;7.98931;0.421429;png
2.98825e+06;64352;4.98628;0.222982;/home/xqsme/Git/build-cryptoFinder-Desktop-Release/cryptoFinder
12513.4;3360;5.15659;1;cpp
2197.75;1093;4.58616;1;csv
1.83941e+06;31456;4.46005;0.116633;o
148.5;463;7.55279;0.626809;gpg
287.182;5577296;7.99996;0.421472;128-cbc
228.127;5577296;7.99997;0.420971;256-cbc
258.85;5579459;7.99997;0.422025;gpg
2.49284e+06;36768;4.00777;0.0661248;o
545699;7032;3.2484;0.0121168;o
1283.62;688;4.59379;1;csv
258438;315296541;7.99941;0.420632;7z
2231;282;6.49965;0.257277;7z
284.767;5577296;7.99997;0.421716;128-ecb
254.018;5577296;7.99997;0.422153;256-ecb
127000;46151;4.89108;1;/home/xqsme/Git/build-cryptoFinder-Desktop-Release/Makefile
15843.9;3880;5.0991;1;cpp
292.714;301;4.81996;1;sh
3006;253;6.07148;0.323592;7z
630;327;7.16259;0.378908;7z
262.67;5577296;7.99997;0.421674;192-cbc
16560.3;1530239;7.99308;0.423488;jpg
