entropy	chi^2	limit	3-gram Chi^2	3-gram limit	Size	Termination	File Command	Size	Chi2								diff1	diff2
7.64843	162	374.694	0	1.99641	512	enc	openssl enc'd data with salted password	500	2	512	1.58625332262656		1000000	30764.441605	1000000	30764.415836025	212.694	1.99641
7.62938	173	374.694	0	1.99641	512	enc	openssl enc'd data with salted password	5000	4	4496	4.09099008253184		5000000	902600	5683504	1130743.39830029	201.694	1.99641
7.56649	203	374.694	0	1.99641	512	enc	openssl enc'd data with salted password	40000	70	45368	86.7096034448538		50000000	14511500	47456288	14192810.4585952	171.694	1.99641
7.62322	150	374.694	0	1.99641	512	enc	openssl enc'd data with salted password	500000	8000	505272	8167.04456652259		300000000	18511500	315296560	18529023.7284162	224.694	1.99641
7.9561	289.294	375.109	0	2.62576	4496	enc	openssl enc'd data with salted password	1000000	60000	1000000	31522.785231			0			85.815	2.62576
7.95352	306.824	375.109	0	2.62576	4496	enc	openssl enc'd data with salted password										68.285	2.62576
7.9557	285.059	375.109	0	2.62576	4496	enc	openssl enc'd data with salted password										90.05	2.62576
7.95157	311.765	375.109	0	2.62576	4496	enc	openssl enc'd data with salted password	500	2	512	2.10177720560896						63.344	2.62576
7.99654	218.384	377.883	63	68.3519	45368	enc	openssl enc'd data with salted password	5000	4	4496	3.62579211468544						159.499	5.3519
7.99642	224.52	377.883	71	68.3519	45368	enc	openssl enc'd data with salted password	40000	60	45368	75.2382336873242						153.363	-2.6481
7.99555	280.136	377.883	59	68.3519	45368	enc	openssl enc'd data with salted password	500000	7750	505272	7913.02725185524						97.747	9.3519
7.99531	296.881	377.883	53	68.3754	45376	enc	openssl enc'd data with salted password	1000000	60000	1000000	30764.441605						81.002	15.3754
7.99963	258.326	397.817	7604	8253.47	505272	enc	openssl enc'd data with salted password										139.491	649.469999999999
7.99958	294.104	397.817	7707	8253.47	505272	enc	openssl enc'd data with salted password										103.713	546.469999999999
7.99967	232.353	397.817	7693	8253.47	505272	enc	openssl enc'd data with salted password										165.464	560.469999999999
7.99972	195.968	397.817	7729	8253.73	505280	enc	openssl enc'd data with salted password										201.849	524.73
7.99997	238.934	539.517	1062250	1747000	5683504	enc	openssl enc'd data with salted password										300.583	684750
7.99996	278.73	539.517	1062660	1747000	5683504	enc	openssl enc'd data with salted password										260.787	684340
7.99997	266.453	539.517	1065790	1747000	5683504	enc	openssl enc'd data with salted password										273.064	681210
7.99997	223.07	539.517	1062600	1747000	5683504	enc	openssl enc'd data with salted password										316.447	684400
8	232.519	1268.94	13007700	20637900	47456280	enc	openssl enc'd data with salted password										1036.421	7630200
8	221.626	1268.94	13005600	20637900	47456280	enc	openssl enc'd data with salted password										1047.314	7632300
8	229.058	1268.94	13012000	20637900	47456280	enc	openssl enc'd data with salted password										1039.882	7625900
8	232.995	1268.94	13011500	20637900	47456288	enc	openssl enc'd data with salted password										1035.945	7626400
8	270.275	3996	18100700	141763000	315296560	enc	openssl enc'd data with salted password										3725.725	123662300
8	273.763	3996	18105700	141763000	315296560	enc	openssl enc'd data with salted password										3722.237	123657300
8	253.337	3996	18112400	141763000	315296560	enc	openssl enc'd data with salted password										3742.663	123650600
8	222.934	3996	18111500	141763000	315296560	enc	openssl enc'd data with salted password										3773.066	123651500
